Route,Day,Stop 1,Stop 1 Time,Stop 2,Stop 2 Time,Stop 3,Stop 3 Time,Stop 4,Stop 4 Time,Stop 5,Stop 5 Time
Westside Inbound,Monday-Friday,UDC,8:05 AM,Main & Murray,8:11 AM,Floral & Main,8:16 AM,Return to Campus,8:23 AM,,
Westside Inbound,Monday-Friday,UDC,8:20 AM,Main & Murray,8:26 AM,Floral & Main,8:31 AM,Return to Campus,8:38 AM,,
Westside Inbound,Monday-Friday,UDC,8:40 AM,Main & Murray,8:46 AM,Floral & Main,8:51 AM,Return to Campus,8:58 AM,,
Westside Inbound,Monday-Friday,UDC,8:55 AM,Main & Murray,9:01 AM,Floral & Main,9:06 AM,Return to Campus,9:13 AM,,
Westside Inbound,Monday-Friday,UDC,9:45 AM,Main & Murray,9:51 AM,Floral & Main,9:56 AM,Return to Campus,10:03 AM,,
Westside Inbound,Monday-Friday,UDC,10:00 AM,Main & Murray,10:06 AM,Floral & Main,10:11 AM,Return to Campus,10:18 AM,,
Westside Inbound,Monday-Friday,UDC,10:20 AM,Main & Murray,10:26 AM,Floral & Main,10:31 AM,Return to Campus,10:38 AM,,
Westside Inbound,Monday-Friday,UDC,10:35 AM,Main & Murray,10:41 AM,Floral & Main,10:46 AM,Return to Campus,10:53 AM,,
Westside Inbound,Monday-Friday,UDC,11:25 AM,Main & Murray,11:31 AM,Floral & Main,11:36 AM,Return to Campus,11:43 AM,,
Westside Inbound,Monday-Friday,UDC,11:40 AM,Main & Murray,11:46 AM,Floral & Main,11:51 AM,Return to Campus,11:58 AM,,
Westside Inbound,Monday-Friday,UDC,12:15 PM,Main & Murray,12:21 PM,Floral & Main,12:26 PM,Return to Campus,12:33 PM,,
Westside Inbound,Monday-Friday,UDC,12:50 PM,Main & Murray,12:56 PM,Floral & Main,1:01 PM,Return to Campus,1:08 PM,,
Westside Inbound,Monday-Friday,UDC,1:10 PM,Main & Murray,1:16 PM,Floral & Main,1:21 PM,Return to Campus,1:28 PM,,
Westside Inbound,Monday-Friday,UDC,1:55 PM,Main & Murray,2:01 PM,Floral & Main,2:06 PM,Return to Campus,2:13 PM,,
Westside Inbound,Monday-Friday,UDC,2:45 PM,Main & Murray,2:51 PM,Floral & Main,2:56 PM,Return to Campus,3:03 PM,,
Westside Inbound,Monday-Friday,UDC,3:20 PM,Main & Murray,3:26 PM,Floral & Main,3:31 PM,Return to Campus,3:38 PM,,
Westside Inbound,Monday-Friday,UDC,3:35 PM,Main & Murray,3:41 PM,Floral & Main,3:46 PM,Return to Campus,3:53 PM,,
Westside Inbound,Monday-Friday,UDC,4:35 PM,Main & Murray,4:41 PM,Floral & Main,4:46 PM,Return to Campus,4:53 PM,,
Westside Inbound,Monday-Friday,UDC,5:00 PM,Main & Murray,5:06 PM,Floral & Main,5:11 PM,Return to Campus,5:18 PM,,
Westside Inbound,Monday-Friday,UDC,5:25 PM,Main & Murray,5:31 PM,Floral & Main,5:36 PM,Return to Campus,5:43 PM,,
Westside Inbound,Monday-Friday,UDC,5:45 PM,Main & Murray,5:51 PM,Floral & Main,5:56 PM,Return to Campus,6:03 PM,,
Westside Inbound,Monday-Friday,UDC,6:15 PM,Main & Murray,6:21 PM,Floral & Main,6:26 PM,Return to Campus,6:33 PM,,
Westside Inbound,Monday-Friday,UDC,6:40 PM,Main & Murray,6:46 PM,Floral & Main,6:51 PM,Return to Campus,6:58 PM,,
Westside Inbound,Monday-Friday,UDC,7:35 PM,Main & Murray,7:41 PM,Floral & Main,7:46 PM,Return to Campus,7:53 PM,,
Westside Inbound,Monday-Friday,UDC,8:15 PM,Main & Murray,8:21 PM,Floral & Main,8:26 PM,Return to Campus,8:33 PM,,
Westside Inbound,Monday-Friday,UDC,8:45 PM,Main & Murray,8:51 PM,Floral & Main,8:56 PM,Return to Campus,9:03 PM,,
Westside Inbound,Monday-Friday,UDC,9:15 PM,Main & Murray,9:21 PM,Floral & Main,9:26 PM,Return to Campus,9:33 PM,,
Westside Inbound,Monday-Friday,UDC,10:20 PM,Main & Murray,10:26 PM,Floral & Main,10:31 PM,Return to Campus,10:38 PM,,
Westside Inbound,Monday-Friday,UDC,11:00 PM,Main & Murray,11:06 PM,Floral & Main,11:11 PM,Return to Campus,11:18 PM,,
Westside Inbound,Monday-Friday,UDC,11:15 PM,Main & Murray,11:21 PM,Floral & Main,11:26 PM,Return to Campus,11:33 PM,,
Westside Inbound,Monday-Friday,UDC,11:45 PM,Main & Murray,11:51 PM,Floral & Main,11:56 PM,Return to Campus,12:03 AM,,
Westside Inbound,Monday-Friday,UDC,7:20 AM,Main & Murray,7:23 AM,Floral & Main,7:29 AM,Return to Campus,7:45 AM,,
Westside Inbound,Monday-Friday,UDC,7:35 AM,Main & Murray,7:38 AM,Floral & Main,7:44 AM,Return to Campus,8:00 AM,,
Westside Inbound,Monday-Friday,UDC,8:25 AM,Main & Murray,8:28 AM,Floral & Main,8:34 AM,Return to Campus,8:50 AM,,
Westside Inbound,Monday-Friday,UDC,8:40 AM,Main & Murray,8:43 AM,Floral & Main,8:49 AM,Return to Campus,9:05 AM,,
Westside Inbound,Monday-Friday,UDC,9:00 AM,Main & Murray,9:03 AM,Floral & Main,9:09 AM,Return to Campus,9:25 AM,,
Westside Inbound,Monday-Friday,UDC,9:15 AM,Main & Murray,9:18 AM,Floral & Main,9:24 AM,Return to Campus,9:40 AM,,
Westside Inbound,Monday-Friday,UDC,10:05 AM,Main & Murray,10:08 AM,Floral & Main,10:14 AM,Return to Campus,10:30 AM,,
Westside Inbound,Monday-Friday,UDC,10:20 AM,Main & Murray,10:23 AM,Floral & Main,10:29 AM,Return to Campus,10:45 AM,,
Westside Inbound,Monday-Friday,UDC,10:40 AM,Main & Murray,10:43 AM,Floral & Main,10:49 AM,Return to Campus,11:05 AM,,
Westside Inbound,Monday-Friday,UDC,11:00 AM,Main & Murray,11:03 AM,Floral & Main,11:09 AM,Return to Campus,11:25 AM,,
Westside Inbound,Monday-Friday,UDC,11:45 AM,Main & Murray,11:48 AM,Floral & Main,11:54 AM,Return to Campus,12:10 PM,,
Westside Inbound,Monday-Friday,UDC,12:00 PM,Main & Murray,12:03 PM,Floral & Main,12:09 PM,Return to Campus,12:25 PM,,
Westside Inbound,Monday-Friday,UDC,12:40 PM,Main & Murray,12:43 PM,Floral & Main,12:49 PM,Return to Campus,1:05 PM,,
Westside Inbound,Monday-Friday,UDC,1:10 PM,Main & Murray,1:13 PM,Floral & Main,1:19 PM,Return to Campus,1:35 PM,,
Westside Inbound,Monday-Friday,UDC,1:30 PM,Main & Murray,1:33 PM,Floral & Main,1:39 PM,Return to Campus,1:55 PM,,
Westside Inbound,Monday-Friday,UDC,2:15 PM,Main & Murray,2:18 PM,Floral & Main,2:24 PM,Return to Campus,2:40 PM,,
Westside Inbound,Monday-Friday,UDC,3:05 PM,Main & Murray,3:08 PM,Floral & Main,3:14 PM,Return to Campus,3:30 PM,,
Westside Inbound,Monday-Friday,UDC,3:40 PM,Main & Murray,3:43 PM,Floral & Main,3:49 PM,Return to Campus,4:05 PM,,
Westside Inbound,Monday-Friday,UDC,3:55 PM,Main & Murray,3:58 PM,Floral & Main,4:04 PM,Return to Campus,4:20 PM,,
Westside Inbound,Monday-Friday,UDC,4:55 PM,Main & Murray,4:58 PM,Floral & Main,5:04 PM,Return to Campus,5:20 PM,,
Westside Inbound,Monday-Friday,UDC,5:20 PM,Main & Murray,5:23 PM,Floral & Main,5:29 PM,Return to Campus,5:45 PM,,
Westside Inbound,Monday-Friday,UDC,5:45 PM,Main & Murray,5:48 PM,Floral & Main,5:54 PM,Return to Campus,6:10 PM,,
Westside Inbound,Monday-Friday,UDC,6:05 PM,Main & Murray,6:08 PM,Floral & Main,6:14 PM,Return to Campus,6:30 PM,,
Westside Inbound,Monday-Friday,UDC,6:35 PM,Main & Murray,6:38 PM,Floral & Main,6:44 PM,Return to Campus,7:00 PM,,
Westside Inbound,Monday-Friday,UDC,7:00 PM,Main & Murray,7:03 PM,Floral & Main,7:09 PM,Return to Campus,7:25 PM,,
Westside Inbound,Monday-Friday,UDC,7:55 PM,Main & Murray,7:58 PM,Floral & Main,8:04 PM,Return to Campus,8:20 PM,,
Westside Inbound,Monday-Friday,UDC,8:35 PM,Main & Murray,8:38 PM,Floral & Main,8:44 PM,Return to Campus,9:00 PM,,
Westside Inbound,Monday-Friday,UDC,9:05 PM,Main & Murray,9:08 PM,Floral & Main,9:14 PM,Return to Campus,9:30 PM,,
Westside Inbound,Monday-Friday,UDC,9:35 PM,Main & Murray,9:38 PM,Floral & Main,9:44 PM,Return to Campus,10:00 PM,,
Westside Inbound,Monday-Friday,UDC,10:40 PM,Main & Murray,10:43 PM,Floral & Main,10:49 PM,Return to Campus,11:05 PM,,
Westside Inbound,Monday-Friday,UDC,11:20 PM,Main & Murray,11:23 PM,Floral & Main,11:29 PM,Return to Campus,11:45 PM,,
Westside Inbound,Monday-Friday,UDC,11:35 PM,Main & Murray,11:38 PM,Floral & Main,11:44 PM,Return to Campus,12:00 AM,,
Westside Inbound,Monday-Friday,UDC,12:05 AM,Main & Murray,12:08 AM,Floral & Main,12:14 AM,Return to Campus,12:30 AM,,
Westside Inbound,Monday-Friday,UDC,7:30 AM,Main & Murray,7:45 AM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,8:00 AM,Main & Murray,8:15 AM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,8:30 AM,Main & Murray,8:45 AM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,9:00 AM,Main & Murray,9:15 AM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,9:30 AM,Main & Murray,9:45 AM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,10:00 AM,Main & Murray,10:15 AM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,10:30 AM,Main & Murray,10:45 AM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,11:00 AM,Main & Murray,11:15 AM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,11:30 AM,Main & Murray,11:45 AM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,12:00 PM,Main & Murray,12:15 PM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,12:30 PM,Main & Murray,12:45 PM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,1:00 PM,Main & Murray,1:15 PM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,1:30 PM,Main & Murray,1:45 PM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,2:00 PM,Main & Murray,2:15 PM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,2:30 PM,Main & Murray,2:45 PM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,3:00 PM,Main & Murray,3:15 PM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,4:00 PM,Main & Murray,4:15 PM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,5:00 PM,Main & Murray,5:15 PM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,6:00 PM,Main & Murray,6:15 PM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,7:00 PM,Main & Murray,7:15 PM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,7:30 PM,Main & Murray,7:45 PM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,8:00 PM,Main & Murray,8:15 PM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,8:30 PM,Main & Murray,8:45 PM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,9:00 PM,Main & Murray,9:15 PM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,9:30 PM,Main & Murray,9:45 PM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,7:45 AM,Main & Murray,8:00 AM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,8:15 AM,Main & Murray,8:30 AM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,8:45 AM,Main & Murray,9:00 AM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,9:15 AM,Main & Murray,9:30 AM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,9:45 AM,Main & Murray,10:00 AM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,10:15 AM,Main & Murray,10:30 AM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,10:45 AM,Main & Murray,11:00 AM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,11:15 AM,Main & Murray,11:30 AM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,11:45 AM,Main & Murray,12:00 PM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,12:15 PM,Main & Murray,12:30 PM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,12:45 PM,Main & Murray,1:00 PM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,1:15 PM,Main & Murray,1:30 PM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,1:45 PM,Main & Murray,2:00 PM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,2:15 PM,Main & Murray,2:30 PM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,2:45 PM,Main & Murray,3:00 PM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,3:15 PM,Main & Murray,3:30 PM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,4:15 PM,Main & Murray,4:30 PM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,5:15 PM,Main & Murray,5:30 PM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,6:15 PM,Main & Murray,6:30 PM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,7:15 PM,Main & Murray,7:30 PM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,7:45 PM,Main & Murray,8:00 PM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,8:15 PM,Main & Murray,8:30 PM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,8:45 PM,Main & Murray,9:00 PM,Floral & Main,,Return to Campus,,,
Westside Inbound,Monday-Friday,UDC,9:15 PM,Main & Murray,9:30 PM,Floral & Main,,Return to Campus,,,
