Route,Day,Stop 1,Stop 1 Time,Stop 2,Stop 2 Time,Stop 3,Stop 3 Time,Stop 4,Stop 4 Time,Stop 5,Stop 5 Time
Riviera Ridge - Town Square,Monday-Friday,Rafuse,4:00 PM,Parkway Plaza (Target),4:09 PM,Town Square Mall (Walmart),4:15 PM,Return to Campus,4:25 PM,,
Riviera Ridge - Town Square,Monday-Friday,Rafuse,5:00 PM,Parkway Plaza (Target),5:09 PM,Town Square Mall (Walmart),5:15 PM,Return to Campus,5:25 PM,,
Riviera Ridge - Town Square,Monday-Friday,Rafuse,6:00 PM,Parkway Plaza (Target),6:09 PM,Town Square Mall (Walmart),6:15 PM,Return to Campus,6:25 PM,,
Riviera Ridge - Town Square,Monday-Friday,Rafuse,7:00 PM,Parkway Plaza (Target),7:09 PM,Town Square Mall (Walmart),7:15 PM,Return to Campus,7:25 PM,,
Riviera Ridge - Town Square,Monday-Friday,Rafuse,8:00 PM,Parkway Plaza (Target),8:09 PM,Town Square Mall (Walmart),8:15 PM,Return to Campus,8:25 PM,,
Riviera Ridge - Town Square,Monday-Friday,Rafuse,9:00 PM,Parkway Plaza (Target),9:09 PM,Town Square Mall (Walmart),9:15 PM,Return to Campus,9:25 PM,,
Riviera Ridge - Town Square,Monday-Friday,Rafuse,10:00 PM,Parkway Plaza (Target),10:09 PM,Town Square Mall (Walmart),10:10 PM,Return to Campus,10:20 PM,,
Oakdale Commons Shuttle,Monday-Friday,Rafuse,3:30 PM,Oakdale Commons,3:39 PM,Wegmans,3:45 PM,Return to Campus,3:58 PM,,
Oakdale Commons Shuttle,Monday-Friday,Rafuse,4:30 PM,Oakdale Commons,4:39 PM,Wegmans,4:45 PM,Return to Campus,4:58 PM,,
Oakdale Commons Shuttle,Monday-Friday,Rafuse,5:30 PM,Oakdale Commons,5:39 PM,Wegmans,5:45 PM,Return to Campus,5:58 PM,,
Oakdale Commons Shuttle,Monday-Friday,Rafuse,6:30 PM,Oakdale Commons,6:39 PM,Wegmans,6:45 PM,Return to Campus,6:58 PM,,
Oakdale Commons Shuttle,Monday-Friday,Rafuse,7:30 PM,Oakdale Commons,7:39 PM,Wegmans,7:45 PM,Return to Campus,7:58 PM,,
Oakdale Commons Shuttle,Monday-Friday,Rafuse,8:30 PM,Oakdale Commons,8:39 PM,Wegmans,8:45 PM,Return to Campus,8:58 PM,,
Oakdale Commons Shuttle,Monday-Friday,Rafuse,9:30 PM,Oakdale Commons,9:39 PM,Wegmans,9:45 PM,Return to Campus,9:58 PM,,
Oakdale Commons Shuttle,Monday-Friday,Rafuse,10:30 PM,Oakdale Commons,10:39 PM,Wegmans,10:45 PM,Return to Campus,10:58 PM,,
Westside Outbound,Saturday-Sunday,Union,10:30 AM,Floral & Main,10:39 AM,Main & Murray,10:45 AM,UDC,10:55 AM,,
Westside Outbound,Saturday-Sunday,Union,11:00 AM,Floral & Main,11:09 AM,Main & Murray,11:15 AM,UDC,11:25 AM,,
Westside Outbound,Saturday-Sunday,Union,12:15 PM,Floral & Main,12:24 PM,Main & Murray,12:30 PM,UDC,12:40 PM,,
Westside Outbound,Saturday-Sunday,Union,1:00 PM,Floral & Main,1:09 PM,Main & Murray,1:15 PM,UDC,1:25 PM,,
Westside Outbound,Saturday-Sunday,Union,2:00 PM,Floral & Main,2:09 PM,Main & Murray,2:15 PM,UDC,2:25 PM,,
Westside Outbound,Saturday-Sunday,Union,2:45 PM,Floral & Main,2:54 PM,Main & Murray,3:00 PM,UDC,3:10 PM,,
Westside Outbound,Saturday-Sunday,Union,3:30 PM,Floral & Main,3:39 PM,Main & Murray,3:45 PM,UDC,3:55 PM,,
Westside Outbound,Saturday-Sunday,Union,4:30 PM,Floral & Main,4:39 PM,Main & Murray,4:45 PM,UDC,4:55 PM,,
Westside Outbound,Saturday-Sunday,Union,5:30 PM,Floral & Main,5:39 PM,Main & Murray,5:45 PM,UDC,5:55 PM,,
Westside Outbound,Saturday-Sunday,Union,5:45 PM,Floral & Main,5:54 PM,Main & Murray,6:00 PM,UDC,6:10 PM,,
Westside Outbound,Saturday-Sunday,Union,6:45 PM,Floral & Main,6:54 PM,Main & Murray,7:00 PM,UDC,7:10 PM,,
